Theoritical theta	Error rate	mu	Execution time
800.0	1.0172754448661232	0.002	0.205
800.0	0.9770669292587665	0.002	0.205
800.0	1.0218324099682903	0.002	0.205
800.0	0.975726645405188	0.002	0.205
800.0	1.0060170604960634	0.002	0.205
800.0	1.0290699427776147	0.002	0.205
800.0	0.9652724313472753	0.002	0.205
800.0	1.011110139139662	0.002	0.205
800.0	1.0070892875789261	0.002	0.205
800.0	1.0191518422611332	0.002	0.205
800.0	0.9826961214437965	0.002	0.205
800.0	1.0188837854904174	0.002	0.205
800.0	1.025853261529026	0.002	0.205
800.0	0.9934183922724249	0.002	0.205
800.0	1.0191031491376263	0.002	0.205
800.0	0.974922475093041	0.002	0.205
800.0	0.9936864490431406	0.002	0.205
800.0	1.0513186547470186	0.002	0.205
800.0	1.05185476828845	0.002	0.205
800.0	0.984036405297375	0.002	0.205
800.0	1.0309463401726244	0.002	0.205
800.0	0.9695613396787266	0.002	0.205
800.0	0.9923461651895622	0.002	0.205
800.0	0.9491890251043326	0.002	0.205
800.0	0.9655404881179909	0.002	0.205
800.0	0.973850248010178	0.002	0.205
800.0	1.0574839604734798	0.002	0.205
800.0	1.0210282396561432	0.002	0.205
800.0	0.9285486537592229	0.002	0.205
800.0	1.0234407505925847	0.002	0.205
800.0	1.0086976282032205	0.002	0.205
800.0	0.9719738506151682	0.002	0.205
800.0	1.0223685235097217	0.002	0.205
800.0	1.0349671917333603	0.002	0.205
800.0	0.967416885513001	0.002	0.205
800.0	0.9615196365572554	0.002	0.205
800.0	1.0078934578910732	0.002	0.205
800.0	1.0660617771363825	0.002	0.205
800.0	0.987789200087395	0.002	0.205
800.0	0.9647363178058438	0.002	0.205
800.0	0.9695613396787266	0.002	0.205
800.0	1.0813410130671781	0.002	0.205
800.0	1.0263893750704574	0.002	0.205
800.0	1.0478339167277142	0.002	0.205
800.0	1.036039418816223	0.002	0.205
800.0	0.9684891125958639	0.002	0.205
800.0	1.0269254886118888	0.002	0.205
800.0	0.9955628464381506	0.002	0.205
800.0	0.9843044620680907	0.002	0.205
800.0	1.0273106779274195	0.002	0.205
800.0	0.9526737631236368	0.002	0.205
800.0	0.9797474969659237	0.002	0.205
800.0	0.9505293089579112	0.002	0.205
800.0	1.0430088948548315	0.002	0.205
800.0	0.9663446584301382	0.002	0.205
800.0	1.0247810344461632	0.002	0.205
800.0	0.9837683485266594	0.002	0.205
800.0	1.034163021421213	0.002	0.205
800.0	1.041668611001253	0.002	0.205
800.0	0.9920781084188464	0.002	0.205
800.0	0.9800155537366393	0.002	0.205
800.0	1.010037912056799	0.002	0.205
800.0	1.0373797026698015	0.002	0.205
800.0	1.0282657724654674	0.002	0.205
800.0	1.0014600953938961	0.002	0.205
800.0	1.0263893750704574	0.002	0.205
800.0	1.0789285021307367	0.002	0.205
800.0	0.9625918636401181	0.002	0.205
800.0	0.9607154662451082	0.002	0.205
800.0	1.0014600953938961	0.002	0.205
800.0	0.9357861865685471	0.002	0.205
800.0	1.0344310781919288	0.002	0.205
800.0	0.9955628464381506	0.002	0.205
800.0	0.9650043745765596	0.002	0.205
800.0	0.9743863615516095	0.002	0.205
800.0	1.0001198115403178	0.002	0.205
800.0	1.0534631089127442	0.002	0.205
800.0	1.0057490037253478	0.002	0.205
800.0	0.9902017110238365	0.002	0.205
800.0	1.0234407505925847	0.002	0.205
800.0	1.0346991349626444	0.002	0.205
800.0	1.0135226500761032	0.002	0.205
800.0	0.9770669292587665	0.002	0.205
800.0	1.1057341792023079	0.002	0.205
800.0	0.943291776148587	0.002	0.205
800.0	1.0403283271476744	0.002	0.205
800.0	0.9880572568581107	0.002	0.205
800.0	1.0068212308082105	0.002	0.205
800.0	0.9668807719715695	0.002	0.205
800.0	1.0084295714325047	0.002	0.205
800.0	0.969293282908011	0.002	0.205
800.0	1.0237088073633003	0.002	0.205
800.0	0.9990475844574549	0.002	0.205
800.0	1.0279977156947517	0.002	0.205
800.0	0.9915419948774149	0.002	0.205
800.0	0.9969031302917292	0.002	0.205
800.0	0.9524057063529212	0.002	0.205
