,Tau,Kappa,Positive hit,Mean SNPs,SFS observed,M0 LL,M0 SFS,M1 LL,M1 SFS,d2 observed inferred,d2 models,Time
61,0.0001,1.9952623150000002,8,100159.41,"[0.2890607888815881, 0.13583417955916613, 0.09365231069430341, 0.06983852019990841, 0.05673695318877805, 0.046064552097644505, 0.03875714314158851, 0.03460565876192183, 0.03208689245963005, 0.03050395237241901, 0.026531668757342253, 0.023544989347510106, 0.021782848495709137, 0.019413416163908966, 0.01866674631145093, 0.01648647034227346, 0.016157935607191923, 0.01492344145112797, 0.015351532166537243]",-138.6130324836,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-144.7712898257,"[0.2800816708619709, 0.1402475397312816, 0.09363518316381916, 0.07032895598966564, 0.05634519529030722, 0.04702267002394024, 0.04036370855737791, 0.035369474724409974, 0.03148505951894685, 0.028377517459020625, 0.02583497406819264, 0.02371617977008872, 0.021923346336208144, 0.020386625071863753, 0.019054793526366704, 0.017889434903654387, 0.016861171653796563, 0.015947154580615065, 0.015129344768474155]",0.0005982372185501561,3.566113592786896e-05,0.2451
53,0.00012589250000000001,1.9952623150000002,8,99375.24,"[0.2680109691823066, 0.14240567624601144, 0.09647987114269112, 0.07377692597840825, 0.058770758361962626, 0.04842343490361188, 0.04200095827429073, 0.034660984983637975, 0.03157207955715494, 0.027810343245695413, 0.025781656183417778, 0.02404860693423588, 0.02241750175853527, 0.020399009103605762, 0.018890236816082696, 0.01861498781768322, 0.016412995830487394, 0.015199861356060065, 0.014323142324120988]",-158.4890783333,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-152.4574850221,"[0.2790672528945287, 0.13985686660417407, 0.09345241602462458, 0.07025013212199857, 0.056328729491842276, 0.04704776969764308, 0.04041849224397218, 0.03544651649329102, 0.03157940874879665, 0.028485708686597864, 0.025954487004610338, 0.02384512417739272, 0.022060268185097372, 0.02053038188262367, 0.019204471365420774, 0.01804429120507557, 0.017020594841818268, 0.016110635003978805, 0.015296453326513595]",0.0005865965176642857,4.7342623399661606e-05,0.23750000000000002
38,0.00015848930000000001,1.9952623150000002,10,99956.64,"[0.2849192546583851, 0.14206211180124223, 0.09213416149068324, 0.06951552795031056, 0.05412173913043478, 0.04635031055900621, 0.04177888198757764, 0.03394782608695652, 0.03235776397515528, 0.027965217391304347, 0.02582857142857143, 0.023006211180124223, 0.02262857142857143, 0.019895652173913043, 0.018315527950310558, 0.01769937888198758, 0.016954037267080745, 0.01616894409937888, 0.014350310559006211]",-117.2173856296,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-120.295389967,"[0.28019919037155944, 0.1402928035529264, 0.09365636208018269, 0.07033809311372838, 0.05634710782449549, 0.047019766584593684, 0.04035736546906603, 0.035360552263579884, 0.03147413113804041, 0.02836498456640691, 0.02582112864557584, 0.0237012407828061, 0.02190748221914674, 0.020369968166752538, 0.01903744967859637, 0.017871490191322875, 0.016842696890687212, 0.015928208773566883, 0.015109977686966172]",0.0006216866629645997,4.9590800986561676e-05,0.2152
35,0.00019952620000000001,1.9952623150000002,8,100360.7,"[0.28722781026898747, 0.1424869180129281, 0.09399171887877193, 0.06987320153707142, 0.05361877054145029, 0.046221366087120574, 0.03907219668159387, 0.035090506498793576, 0.02975841765050491, 0.02885484207286195, 0.024575269831498048, 0.023691553057759333, 0.021924119510281895, 0.01943183962029967, 0.017714053082582837, 0.018111229160667652, 0.01705871255374289, 0.01595654893705752, 0.015340926016026055]",-124.8452797379,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-128.6868394677,"[0.28073448552393976, 0.14049898674545386, 0.09375284158188808, 0.07037972260601559, 0.05635582881444691, 0.04700654980290132, 0.04032847995034528, 0.03531991613771604, 0.031424356463903194, 0.028307899833119907, 0.025758063643166608, 0.02363319282591024, 0.02183521852255055, 0.02029409146408132, 0.01895844228567334, 0.017789743837481383, 0.016758534301836915, 0.015841898841282266, 0.01502174681828739]",0.0005676640065583964,4.459529088268635e-05,0.24710000000000001
9,0.0002511886,1.9952623150000002,9,101054.66,"[0.2776699801984139, 0.14025294287391663, 0.09614217339821089, 0.06942495795894404, 0.06002169218981661, 0.047155636486661295, 0.04202115486034409, 0.035941371384220426, 0.03167258724141019, 0.025990825596783982, 0.025990825596783982, 0.023921112072997203, 0.02218971710598326, 0.018945839179278983, 0.019831437754360828, 0.017264196941202226, 0.0162193896335214, 0.014458143029145148, 0.014886016498004915]",-140.1729190641,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-146.1755155623,"[0.27926451657043955, 0.13993283038959267, 0.09348794919121135, 0.07026545261743919, 0.05633192446891825, 0.04704288277646521, 0.04040783399356844, 0.03543153111008691, 0.03156105896555977, 0.028464668435841674, 0.02593124644699811, 0.023820050884712066, 0.022033644926335347, 0.020502430861311247, 0.019175370294247943, 0.018014184470404822, 0.016989601428731457, 0.016078853992418138, 0.015263968175717756]",0.000632006751425467,4.77974372323245e-05,0.2967
17,0.00031622780000000004,1.9952623150000002,6,100836.14,"[0.27586070321705464, 0.13903933936015367, 0.09409563039022506, 0.07055934569722654, 0.055429584228609906, 0.04910241303852742, 0.04149792559880388, 0.035596526491935086, 0.031526937510520534, 0.029051518422068857, 0.02637806580654105, 0.02348677631122949, 0.023169922667907676, 0.019912271147505274, 0.018516134781618527, 0.019189448773677384, 0.016248650896596793, 0.015575336904537938, 0.015763468755260267]",-128.7848066497,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-128.7848066525,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0005981265298882076,6.123347567576623e-05,0.1092
50,0.0003981072,1.9952623150000002,8,100674.68,"[0.2791794810546117, 0.1397191285220905, 0.09634429150119933, 0.07064584515242901, 0.0554178734585411, 0.04603226737531476, 0.042170533377126194, 0.035312969653538764, 0.03284464482995431, 0.02853502931135728, 0.025449623281876724, 0.024066167029948345, 0.02232440556169319, 0.019597304748539407, 0.01919918784150966, 0.018174036805908057, 0.015655947368944892, 0.014551172951937336, 0.014780090173479442]",-120.617995779,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-121.4421613617,"[0.28041383539984505, 0.1403754781878291, 0.09369504694875729, 0.07035478399198558, 0.05635060307589643, 0.047014465350938915, 0.04034578159031598, 0.035344256844506684, 0.03145417160063095, 0.028342094134154595, 0.025795840551621752, 0.023673954924061845, 0.021878506230189897, 0.02033954376052393, 0.01900577025341663, 0.017838712832658005, 0.016808950986059275, 0.015893602173947526, 0.015074601162660479]",0.0005756712579654933,4.6222747209929285e-05,0.0731
12,0.0005011872,1.9952623150000002,3,99901.17,"[0.2781263738459694, 0.13890332121018345, 0.09436073698093601, 0.07223931897206347, 0.05829103553015467, 0.047230326525718395, 0.042304464250029976, 0.035100515566923784, 0.02980496383038248, 0.027596818672315254, 0.02567843011870029, 0.023020662643379562, 0.02167179569161904, 0.019203868750249792, 0.02080252587826226, 0.018154750009991606, 0.01649614323967867, 0.014837536469365732, 0.016176411814076176]",-136.1741444843,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-133.7112884439,"[0.28013234423453137, 0.1402670570014891, 0.09364431521200878, 0.07033289572368434, 0.05634601986538277, 0.04702141799020018, 0.04036097338817891, 0.035365627396608756, 0.03148034725724167, 0.028372113359889758, 0.02582900404796346, 0.02370973824504533, 0.021916505906291087, 0.020379442801878065, 0.01904731509612826, 0.01788169740528926, 0.016853205605791444, 0.015938985438362446, 0.015120994024035033]",0.0005772100804089191,3.447415680733215e-05,0.2866
41,0.0006309573,1.9952623150000002,8,99505.11,"[0.28486557548144953, 0.14159984746153922, 0.09148293475970175, 0.07023793992794565, 0.0549238813009925, 0.048511244693769, 0.04227924573745321, 0.03567593605427158, 0.03018655855168746, 0.02835007576745913, 0.025500015053137575, 0.023523036318203256, 0.021766836934378357, 0.020100956376007305, 0.01767238351380373, 0.016859514084719057, 0.015263881501701005, 0.01644806165765151, 0.014752074824129177]",-124.1642743439,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-124.1642743431,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0006257732748070607,4.5404260440178925e-05,0.264
6,0.0007943282,1.9952623150000002,11,100522.34,"[0.2779788793490292, 0.1390293275894736, 0.09425514304803502, 0.06974401930575085, 0.05606246447482574, 0.050518044295529564, 0.041742703004557194, 0.03615839491030205, 0.03111257366799294, 0.0274827734067271, 0.02502966663675073, 0.023144962654939618, 0.022865747250226862, 0.021379922418005404, 0.01923594698896102, 0.01795953371027413, 0.01697230781503974, 0.015606146727695176, 0.013721442745884065]",-131.1521034946,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-131.1521034964,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0006218527192630438,4.332821367283881e-05,0.11220000000000001
